ObjectiveValue	k1	k2	k3
59.2182	0.482224	0.47612	0.0586486
59.2157	0.48063	0.471067	0.057556
59.2149	0.475462	0.475868	0.0586306
59.2136	0.476504	0.475738	0.0585943
59.2111	0.477802	0.473635	0.057704
59.2084	0.475494	0.471582	0.0576736
59.2083	0.475748	0.472101	0.0578606
59.2083	0.475442	0.472046	0.0578086
59.2083	0.475582	0.471992	0.05779
59.2083	0.475577	0.471978	0.0577979
59.2083	0.47538	0.471847	0.0577916
59.2083	0.475485	0.471947	0.0578087
59.2083	0.475529	0.471948	0.0578118
5929.31	10	0.0001	10
304.269	0.00136464	0.00027998	0.677609
303.559	0.00150153	0.000220616	1.03924
158.46	0.104603	0.376	0.000896062
126.25	0.185264	0.402333	0.0001
107.806	0.146596	0.354704	0.0243497
107.163	0.246709	0.307576	0.000449259
105.978	0.335447	0.389391	0.0001
92.3354	0.171164	0.308567	0.0425301
91.0877	0.290893	0.547724	0.02892
68.8307	0.568952	0.419968	0.0309062
67.7268	0.638577	0.480205	0.0400134
63.9612	0.516621	0.399195	0.039079
62.7971	0.441819	0.471071	0.0407171
62.4994	0.360617	0.457515	0.0552602
60.9195	0.421537	0.452251	0.0449905
