Time	IR_beta_pY1146	IRbetaPercent	InsulinPercent
2	0.515223	75	7
2	0.522093	76	7
2	0.528963	77	7
2	0.535832	78	7
2	0.542702	79	7
2	0.549572	80	7
2	0.556441	81	7
2	0.563311	82	7
2	0.57018	83	7
2	0.57705	84	7
2	0.58392	85	7
2	0.590789	86	7
2	0.597659	87	7
2	0.604529	88	7
2	0.611398	89	7
2	0.618268	90	7
2	0.625138	91	7
2	0.632007	92	7
2	0.638877	93	7
2	0.645747	94	7
2	0.652616	95	7
2	0.659486	96	7
2	0.666355	97	7
2	0.673225	98	7
2	0.680095	99	7
2	0.686964	100	7
2	0	0	8
2	0.00780881	1	8
2	0.0156176	2	8
2	0.0234264	3	8
2	0.0312352	4	8
2	0.039044	5	8
2	0.0468528	6	8
2	0.0546616	7	8
2	0.0624704	8	8
2	0.0702793	9	8
2	0.0780881	10	8
2	0.0858969	11	8
2	0.0937057	12	8
2	0.101514	13	8
2	0.109323	14	8
2	0.117132	15	8
2	0.124941	16	8
2	0.13275	17	8
2	0.140559	18	8
2	0.148367	19	8
2	0.156176	20	8
2	0.163985	21	8
2	0.171794	22	8
2	0.179603	23	8
2	0.187411	24	8
2	0.19522	25	8
2	0.203029	26	8
2	0.210838	27	8
2	0.218647	28	8
2	0.226455	29	8
2	0.234264	30	8
2	0.242073	31	8
2	0.249882	32	8
2	0.257691	33	8
2	0.265499	34	8
2	0.273308	35	8
2	0.281117	36	8
2	0.288926	37	8
2	0.296735	38	8
2	0.304543	39	8
2	0.312352	40	8
2	0.320161	41	8
2	0.32797	42	8
2	0.335779	43	8
2	0.343587	44	8
2	0.351396	45	8
2	0.359205	46	8
2	0.367014	47	8
2	0.374823	48	8
2	0.382631	49	8
2	0.39044	50	8
2	0.398249	51	8
2	0.406058	52	8
2	0.413867	53	8
2	0.421676	54	8
2	0.429484	55	8
2	0.437293	56	8
2	0.445102	57	8
2	0.452911	58	8
2	0.46072	59	8
2	0.468528	60	8
2	0.476337	61	8
2	0.484146	62	8
2	0.491955	63	8
2	0.499764	64	8
2	0.507572	65	8
2	0.515381	66	8
2	0.52319	67	8
2	0.530999	68	8
2	0.538808	69	8
2	0.546616	70	8
2	0.554425	71	8
2	0.562234	72	8
2	0.570043	73	8
2	0.577852	74	8
2	0.58566	75	8
2	0.593469	76	8
2	0.601278	77	8
2	0.609087	78	8
2	0.616896	79	8
2	0.624704	80	8
2	0.632513	81	8
2	0.640322	82	8
2	0.648131	83	8
2	0.65594	84	8
2	0.663748	85	8
2	0.671557	86	8
2	0.679366	87	8
2	0.687175	88	8
2	0.694984	89	8
2	0.702793	90	8
2	0.710601	91	8
2	0.71841	92	8
2	0.726219	93	8
2	0.734028	94	8
2	0.741837	95	8
2	0.749645	96	8
2	0.757454	97	8
2	0.765263	98	8
2	0.773072	99	8
2	0.780881	100	8
2	0	0	9
2	0.00873773	1	9
2	0.0174755	2	9
2	0.0262132	3	9
2	0.0349509	4	9
2	0.0436887	5	9
2	0.0524264	6	9
2	0.0611641	7	9
2	0.0699019	8	9
2	0.0786396	9	9
2	0.0873773	10	9
2	0.0961151	11	9
2	0.104853	12	9
2	0.113591	13	9
2	0.122328	14	9
2	0.131066	15	9
2	0.139804	16	9
2	0.148541	17	9
2	0.157279	18	9
2	0.166017	19	9
2	0.174755	20	9
2	0.183492	21	9
2	0.19223	22	9
2	0.200968	23	9
2	0.209706	24	9
2	0.218443	25	9
2	0.227181	26	9
2	0.235919	27	9
2	0.244657	28	9
2	0.253394	29	9
2	0.262132	30	9
2	0.27087	31	9
2	0.279607	32	9
2	0.288345	33	9
2	0.297083	34	9
2	0.305821	35	9
2	0.314558	36	9
2	0.323296	37	9
2	0.332034	38	9
2	0.340772	39	9
2	0.349509	40	9
2	0.358247	41	9
2	0.366985	42	9
2	0.375723	43	9
2	0.38446	44	9
2	0.393198	45	9
2	0.401936	46	9
2	0.410673	47	9
2	0.419411	48	9
2	0.428149	49	9
2	0.436887	50	9
2	0.445624	51	9
2	0.454362	52	9
2	0.4631	53	9
2	0.471838	54	9
2	0.480575	55	9
2	0.489313	56	9
2	0.498051	57	9
2	0.506789	58	9
2	0.515526	59	9
2	0.524264	60	9
2	0.533002	61	9
2	0.541739	62	9
2	0.550477	63	9
2	0.559215	64	9
2	0.567953	65	9
2	0.57669	66	9
2	0.585428	67	9
2	0.594166	68	9
2	0.602904	69	9
2	0.611641	70	9
2	0.620379	71	9
2	0.629117	72	9
2	0.637855	73	9
2	0.646592	74	9
2	0.65533	75	9
2	0.664068	76	9
2	0.672805	77	9
2	0.681543	78	9
2	0.690281	79	9
2	0.699019	80	9
2	0.707756	81	9
2	0.716494	82	9
2	0.725232	83	9
2	0.73397	84	9
2	0.742707	85	9
2	0.751445	86	9
2	0.760183	87	9
2	0.768921	88	9
2	0.777658	89	9
2	0.786396	90	9
2	0.795134	91	9
2	0.803871	92	9
2	0.812609	93	9
2	0.821347	94	9
2	0.830085	95	9
2	0.838822	96	9
2	0.84756	97	9
2	0.856298	98	9
2	0.865036	99	9
2	0.873773	100	9
2	0	0	10
2	0.00965653	1	10
2	0.0193131	2	10
2	0.0289696	3	10
2	0.0386261	4	10
2	0.0482827	5	10
2	0.0579392	6	10
2	0.0675957	7	10
2	0.0772522	8	10
2	0.0869088	9	10
2	0.0965653	10	10
2	0.106222	11	10
2	0.115878	12	10
2	0.125535	13	10
2	0.135191	14	10
2	0.144848	15	10
2	0.154504	16	10
2	0.164161	17	10
2	0.173818	18	10
2	0.183474	19	10
2	0.193131	20	10
2	0.202787	21	10
2	0.212444	22	10
2	0.2221	23	10
2	0.231757	24	10
2	0.241413	25	10
2	0.25107	26	10
2	0.260726	27	10
2	0.270383	28	10
2	0.280039	29	10
2	0.289696	30	10
2	0.299352	31	10
2	0.309009	32	10
2	0.318666	33	10
2	0.328322	34	10
2	0.337979	35	10
2	0.347635	36	10
2	0.357292	37	10
2	0.366948	38	10
2	0.376605	39	10
2	0.386261	40	10
2	0.395918	41	10
2	0.405574	42	10
2	0.415231	43	10
2	0.424887	44	10
2	0.434544	45	10
2	0.4442	46	10
2	0.453857	47	10
2	0.463513	48	10
2	0.47317	49	10
2	0.482827	50	10
2	0.492483	51	10
2	0.50214	52	10
2	0.511796	53	10
2	0.521453	54	10
2	0.531109	55	10
2	0.540766	56	10
2	0.550422	57	10
2	0.560079	58	10
2	0.569735	59	10
2	0.579392	60	10
2	0.589048	61	10
2	0.598705	62	10
2	0.608361	63	10
2	0.618018	64	10
2	0.627674	65	10
2	0.637331	66	10
